ID 112609323,realtor,Москва,sale,flat,6,5,310.15,325657500.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa,1050000.0
Донстрой,developer,Москва,sale,flat,21,1,37.7,19147830.0,Лефортово,,,Площадь Ильича,Символ ЖК,507899.99999999994
Apple Real Estate,real_estate_agent,Москва,sale,flat,21,3,116.78,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,984757.6639835588
Пионер,developer,Москва,sale,flat,11,1,55.8,52675646.0,Даниловский,,,Павелецкая,Опус ЖК,944007.9928315412
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,21,3,117.0,114000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,974358.9743589744
Tekta Group,developer,Москва,sale,flat,34,1,31.2,15178800.0,Нагорный,,2,Нагорная,Твелв ЖК,486500.0
Contact Real Estate,real_estate_agent,Москва,sale,flat,12,4,145.0,299000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,2062068.9655172413
Sminex,developer,Москва,sale,flat,26,1,35.67,21910000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение,614241.6596579759
NIKA ESTATE,real_estate_agent,Москва,sale,flat,41,3,91.2,80000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,877192.9824561403
Трансстройинвест,developer,Москва,sale,flat,23,2,44.1,21442875.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК,486232.9931972789
White and Broughton,real_estate_agent,Москва,sale,flat,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,702987.69771529
КРОСТ,developer,Москва,sale,flat,28,2,47.9,22081900.0,Хорошево-Мневники, Генерала Глаголева,,Народное Ополчение,CRYSTAL Трилогия,461000.0
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,5,3,112.0,85000000.0,Хамовники,Комсомольский проспект,42С2,Спортивная,Clerkenwell House,758928.5714285715
Ташир,developer,Москва,sale,flat,21,2,48.1,15680600.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса),326000.0
Whitewill,real_estate_agent,Москва,sale,flat,6,4,184.1,82200000.0,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS,446496.4693101575
Regions Development,developer,Москва,sale,flat,15,2,40.94,18629584.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь,455046.01856375183
Kalinka Group,real_estate_agent,Москва,sale,flat,18,3,90.4,45000000.0,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь,497787.610619469
MR Group,developer,Москва,sale,flat,36,1,40.9,30348986.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,742028.9975550122
White and Broughton,real_estate_agent,Москва,sale,flat,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,746987.951807229
Основа,developer,Москва,sale,flat,28,2,41.3,17106460.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК,414200.0
SUNRISE Estate,real_estate_agent,Москва,sale,flat,19,4,140.7,67990000.0,Хорошево-Мневники,Шелепихинская набережная,34к1зд4,Шелепиха,Сердце Столицы,483226.723525231
Галс-Девелопмент,developer,Москва,sale,flat,23,3,82.8,39578400.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56,478000.0
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,8,4,134.0,71700000.0,Тверской,Тверская ,27С2,Маяковская,,535074.6268656716
MR Group,developer,Москва,sale,flat,54,1,38.99,19328123.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34,495720.0051295204
Kalinka Group,real_estate_agent,Москва,sale,flat,5,3,150.8,195000000.0,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11,1293103.448275862
MR Group,developer,Москва,sale,flat,59,1,30.4,,Можайский,,,Давыдково,Веер ЖК,
Contact Real Estate,real_estate_agent,Москва,sale,flat,20,1,59.0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky,1047457.6271186441
FS PROPERTY,real_estate_agent,Москва,sale,flat,16,3,158.0,205000000.0,Якиманка, Большая Якиманка,22К3,Полянка,Коперник,1297468.3544303798
MR Group,developer,Москва,sale,flat,57,2,40.53,26210751.0,Филевский парк,,,Фили,Фили Сити ЖК,646700.0
Romanov Estate,real_estate_agent,Москва,sale,flat,33,3,99.0,48999999.0,Пресненский, Пресненский Вал,27С2,Белорусская,Republic,494949.48484848486
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,11,5,179.2,105000000.0,Басманный,Старая Басманная ,10С5,Курская,KAZAKOV Grand Loft,585937.5
Главстрой,developer,Москва,sale,flat,35,1,39.22,18847239.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК,480551.73380928097
ID 65939370,unknown,Москва,sale,flat,25,3,131.2,51900000.0,Очаково-Матвеевское,Нежинская ,8К4,Матвеевская,Нежинский ковчег,395579.26829268294
ID 85529538,homeowner,Москва,sale,flat,25,3,96.1,47750000.0,Раменки, Лобачевского,118к2,Аминьевская,Лобачевский,496878.2518210198
Галс-Девелопмент,developer,Москва,sale,flat,5,3,183.1,174494300.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,953000.0
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,41,3,97.2,72300000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,743827.1604938272
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,41,2,46.0,21500000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,467391.3043478261
Forma,developer,Москва,sale,flat,29,2,65.2,25687170.0,Аэропорт,Часовая ,28к8,Сокол,SOUL,393975.0
Point Estate Город,real_estate_agent,Москва,sale,flat,21,2,54.0,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,1092592.5925925926
Yhome,real_estate_agent,Москва,sale,flat,17,5,310.0,330000000.0,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven,1064516.1290322582
Мангазея,developer,Москва,sale,flat,21,2,74.2,36448375.0,Щукино,Щукинская ,,Щукинская,Интонация,491217.99191374663
Tekta Group,developer,Москва,sale,flat,34,1,30.0,17691000.0,Обручевский,,,Воронцовская,Эвер ЖК,589700.0
SELS,real_estate_agent,Москва,sale,flat,28,3,94.0,57000000.0,Филевский парк,Береговой проезд,1А,Шелепиха,мой адрес На Береговом,606382.9787234042
FORMA,developer,Москва,sale,flat,33,2,64.67,37928955.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,586500.0
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,58,2,60.2,21000000.0,Ростокино,проспект Мира,188Бк1,Ростокино,Триколор,348837.20930232556
MR Group,developer,Москва,sale,flat,13,1,85.04,130383328.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum,1533200.0
ALFA real estate,real_estate_agent,Москва,sale,flat,9,4,150.5,230000000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал,1528239.2026578074
MR Group,developer,Москва,sale,flat,59,2,34.6,13833080.0,Можайский,Верейская ,29С32А,Давыдково,SET,399800.0
Kalinka Group,real_estate_agent,Москва,sale,flat,24,4,123.0,95000000.0,Фили-Давыдково,Кастанаевская ,66,Кунцевская,Shome,772357.7235772358
Kalinka Group,real_estate_agent,Москва,sale,flat,53,3,153.0,167970000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,1097843.137254902
Whitewill,real_estate_agent,Москва,sale,flat,37,2,48.0,42500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,885416.6666666666
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,26,4,139.0,170000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES,1223021.582733813
MR Group,developer,Москва,sale,flat,9,2,42.8,29005560.0,Марьина роща,,,Марьина Роща,Мод ЖК,677700.0
Contact Real Estate,real_estate_agent,Москва,sale,flat,21,4,137.0,150000000.0,Пресненский,2-я Звенигородская ,12С19,Улица 1905 года,,1094890.510948905
PEOPLE,real_estate_agent,Москва,sale,flat,14,4,172.5,129000000.0,Пресненский, Заморенова,21,Краснопресненская,,747826.0869565217
Донстрой,developer,Москва,sale,flat,21,1,37.7,19905600.0,Лефортово,,,Площадь Ильича,Символ ЖК,528000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,14,3,166.3,290000000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,1743836.4401683703
ID 88675389,unknown,Москва,sale,flat,6,2,70.0,31600000.0,Москворечье-Сабурово,переулок 1-й Котляковский,2Ак3,Варшавская,LIFE Варшавская,451428.5714285714
Whitewill,real_estate_agent,Москва,sale,flat,15,2,58.54,61000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky,1042022.5486846601
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,19,3,99.0,53000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,Сердце Столицы,535353.5353535353
Kalinka Group,real_estate_agent,Москва,sale,flat,40,4,138.0,135000000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк,978260.8695652174
PEOPLE,real_estate_agent,Москва,sale,flat,21,5,190.0,210000000.0,Пресненский,Мантулинская ,9к2,Деловой центр,City Park,1105263.1578947369
PEOPLE,real_estate_agent,Москва,sale,flat,21,3,126.0,160000000.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky,1269841.2698412698
Владислав Карпов,realtor,Москва,sale,flat,28,2,64.5,49000000.0,Раменки,Винницкая ,8к2,Раменки,Настоящее,759689.9224806202
PEOPLE,real_estate_agent,Москва,sale,flat,21,3,82.0,103000000.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky,1256097.5609756098
ID 85604823,unknown,Москва,sale,flat,41,2,50.0,34000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,680000.0
PEOPLE,real_estate_agent,Москва,sale,flat,21,3,112.5,150000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1333333.3333333333
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,33,3,97.7,36990000.0,Рязанский, Михайлова,30Ак4,Плющево,Михайловский парк,378607.9836233367
PEOPLE,real_estate_agent,Москва,sale,flat,21,4,165.0,200000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky,1212121.2121212122
Level Group,developer,Москва,sale,flat,26,2,41.5,19133232.0,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,Level Нагатинская,461041.734939759
Kalinka Group,real_estate_agent,Москва,sale,flat,7,3,95.7,106990000.0,Замоскворечье,Садовническая ,57С1,Павелецкая,Wine House,1117972.8317659353
Центр-Инвест,developer,Москва,sale,flat,9,2,69.9,69134455.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической,989047.9971387696
Времена года,real_estate_agent,Москва,sale,flat,7,4,191.0,310000000.0,Хамовники, Льва Толстого,23С5,Парк Культуры,Литератор,1623036.6492146596
UNIQ Development,developer,Москва,sale,flat,25,3,109.2,89544000.0,Фили-Давыдково,Малая Филевская ,46,Кунцевская,Springs,820000.0
MR Group,developer,Москва,sale,flat,36,3,88.0,70149112.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,797149.0
Intermark Real Estate,real_estate_agent,Москва,sale,flat,22,3,114.7,63500000.0,Донской, Вавилова,2,Ленинский проспект,Нескучный сад,553618.1342632956
ФСК,developer,Москва,sale,flat,8,2,65.7,51377400.0,Хорошево-Мневники, Шеногина,,Хорошёво,Sydney Prime,782000.0
Tekta Group,developer,Москва,sale,flat,27,1,28.1,19363710.0,Даниловский,,1,Крестьянская застава,Эра ЖК,689100.0
Kalinka Group,real_estate_agent,Москва,sale,flat,38,5,216.6,130000000.0,Раменки,Мосфильмовская ,70к1,Ломоносовский проспект,Воробьевы Горы,600184.6722068329
РГ-Девелопмент,developer,Москва,sale,flat,26,2,55.5,19288526.0,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК,347541.009009009
Kalinka Group,real_estate_agent,Москва,sale,flat,53,3,150.0,135000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,900000.0
Forma,developer,Москва,sale,flat,29,2,57.1,21560960.0,Печатники,,,Нагатинский Затон,Портлэнд ЖК,377600.0
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,7,3,75.0,41500000.0,Басманный, Земляной Вал,34С4,Курская,,553333.3333333334
Пионер,developer,Москва,sale,flat,39,3,70.5,47630082.0,Даниловский,,,Павелецкая,Хай Лайф ЖК,675604.0
Romanov Estate,real_estate_agent,Москва,sale,flat,6,2,65.8,46999999.0,Даниловский,,,Павелецкая,Опус ЖК,714285.699088146
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,560810.8108108108
EraOneHolding,developer,Москва,sale,flat,8,3,128.6,128600000.0,Арбат, Арбат,24,Смоленская,Turandot Residences,1000000.0
Мечты в квадрате,real_estate_agent,Москва,sale,flat,9,4,84.5,52000000.0,Даниловский,проспект Лихачева,20,Технопарк,Nagatino i-Land,615384.6153846154
КОРТРОС,developer,Москва,sale,flat,49,3,79.14,32051700.0,Марьина роща,,,Марьина Роща,Тэйт ЖК,405000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,6,3,80.0,82000000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA,1025000.0
St Michael,developer,Москва,sale,flat,16,2,30.97,,Хорошево-Мневники, Берзарина,,Серебряный Бор,Квартал Серебряный Бор,
Kalinka Group,real_estate_agent,Москва,sale,flat,11,3,134.5,90000000.0,Якиманка, Серафимовича,2,Боровицкая,,669144.9814126394
Концерн КРОСТ,developer,Москва,sale,flat,19,1,39.6,23760000.0,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал,600000.0
Whitewill,real_estate_agent,Москва,sale,flat,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,1046077.2104607722
Пионер,developer,Москва,sale,flat,26,1,23.9,22602971.0,Даниловский,,,Павелецкая,Хай Лайф ЖК,945731.0041841004
ФОРА,real_estate_agent,Москва,sale,flat,6,3,137.7,44500000.0,Хорошевский,2-й Хорошевский проезд,9К1,Беговая,,323166.30355846044
Kalinka Group,real_estate_agent,Москва,sale,flat,7,3,125.3,100000000.0,Очаково-Матвеевское,Староволынская ,15к3,Матвеевская,Ближняя дача,798084.5969672785
Среда,developer,Москва,sale,flat,44,3,83.71,28859441.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,344754.9994026998
Whitewill,real_estate_agent,Москва,sale,flat,37,4,88.4,72990000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк,825678.7330316742
MR Group,developer,Москва,sale,flat,28,3,87.7,32115301.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,366194.9942987457
Smolenka Estate,real_estate_agent,Москва,sale,flat,9,2,60.7,74100000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,1220757.8253706754
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,59,4,165.0,50500000.0,Ростокино,проспект Мира,188Бк3,Ростокино,Триколор,306060.6060606061
Имена,developer,Москва,sale,flat,14,2,50.8,42316400.0,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE,833000.0
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,85,2,90.3,75000000.0,Пресненский,1-й Красногвардейский проезд,21с1,Деловой центр,,830564.7840531562
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,22,3,84.0,45000000.0,Свиблово,Сельскохозяйственная ,38к2,Ботанический сад,LIFE-Ботанический сад,535714.2857142857
КОРТРОС,developer,Москва,sale,flat,49,1,40.62,18197760.0,Марьина роща,,,Марьина Роща,Тэйт ЖК,448000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,21,2,64.76,68500000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1057751.6985793698
Apple Real Estate,real_estate_agent,Москва,sale,flat,4,5,211.5,95000000.0,Крылатское,Островной проезд,7К1,Молодёжная,Остров Фантазий,449172.5768321513
РКС Девелопмент,developer,Москва,sale,flat,16,2,55.54,22582564.0,Даниловский,Автозаводская ,24К1,Тульская,Дом на набережной INSIDER,406600.0
Kalinka Group,real_estate_agent,Москва,sale,flat,32,2,64.4,51000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9,791925.4658385093
Владислав Карпов,realtor,Москва,sale,flat,28,1,40.0,30500000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее,762500.0
Sense Development,developer,Москва,sale,flat,13,1,58.8,37642247.0,Даниловский, Даниловский Вал,1А,Тульская,Logos,640174.2687074831
Анна Журавлева,realtor,Москва,sale,flat,9,2,43.5,10000000.0,Печатники,Шоссейная ,8,Печатники,,229885.05747126436
PEOPLE,real_estate_agent,Москва,sale,flat,10,5,178.7,184900000.0,Раменки,Минская ,2Вк3,Минская,Снегири Эко,1034695.0195858983
Главстрой,developer,Москва,sale,flat,35,3,95.73,40514371.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК,423214.9900762561
Времена года,real_estate_agent,Москва,sale,flat,7,4,173.6,451500000.0,Хамовники, Ефремова,19к2,Спортивная,Knightsbridge Private Park,2600806.4516129033
Villagio Realty,real_estate_agent,Москва,sale,flat,11,2,73.4,70000000.0,Тверской,Лесная ,4с1,Белорусская,,953678.4741144413
Донстрой,developer,Москва,sale,flat,9,2,87.9,146485350.0,Хамовники,531-й кв-л,,Спортивная,Дом 22 ЖК,1666500.0
Whitewill,real_estate_agent,Москва,sale,flat,3,5,325.0,380000000.0,Тверской,Долгоруковская ,23А,Новослободская,Cameo Moscow Villas,1169230.7692307692
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,18,5,220.0,90000000.0,Раменки, Улофа Пальме,1с7,Минская,,409090.9090909091
MR Group,developer,Москва,sale,flat,7,1,78.45,196125000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE,2500000.0
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14,Трубная,,934782.6086956522
Среда,developer,Москва,sale,flat,13,1,35.3,14608904.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,413849.97167138814
Whitewill,real_estate_agent,Москва,sale,flat,53,3,124.0,118000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,951612.9032258064
MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,30,3,134.0,68000000.0,Проспект Вернадского,проспект Вернадского,37к1А,Проспект Вернадского,,507462.6865671642
Absolute Premium,developer,Москва,sale,flat,18,3,118.1,134761000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,1141075.3598645215
Kalinka Group,real_estate_agent,Москва,sale,flat,7,3,74.9,41500000.0,Басманный, Земляной Вал,34С4,Курская,,554072.0961281708
BRIGHT ESTATE - городская недвижимость,real_estate_agent,Москва,sale,flat,12,3,136.9,250000000.0,Хамовники, Усачева,13,Спортивная,Садовые кварталы,1826150.4747991234
Ташир,developer,Москва,sale,flat,32,3,83.7,,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe,
Kalinka Group,real_estate_agent,Москва,sale,flat,9,3,101.7,69950000.0,Замоскворечье,Вишняковский переулок,23,Новокузнецкая,,687807.2763028515
ID 87270564,homeowner,Москва,sale,flat,9,2,45.0,24000000.0,Свиблово,Лазоревый проезд,4,Ботанический сад,,533333.3333333334
COLDY,developer,Москва,sale,flat,15,3,112.49,85627388.0,Даниловский, Серпуховский Вал,7,Тульская,Дом 7 Даниловский,761200.0
Центрис,real_estate_agent,Москва,sale,flat,8,4,173.9,224900000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,1293271.9953996548
BARNES International Realty,real_estate_agent,Москва,sale,flat,8,3,70.0,65823293.0,Хамовники,Смоленский бульвар,22/14,Смоленская,,940332.7571428572
Донстрой,developer,Москва,sale,flat,21,3,78.6,32996280.0,Лефортово,,,Площадь Ильича,Символ ЖК,419800.00000000006
ZIP Realty,real_estate_agent,Москва,sale,flat,10,1,31.0,14500000.0,Раменки,Мичуринский проспект,10К1,Ломоносовский проспект,,467741.93548387097
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,6,5,319.3,250000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence,782962.7309740057
TOUCH,developer,Москва,sale,flat,27,2,65.91,44571000.0,Крылатское,Крылатская ,23,Молодёжная,Дом Горизонтов,676240.3277196178
Kalinka Group,real_estate_agent,Москва,sale,flat,14,2,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,1500000.0
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,5,3,207.4,432415799.0,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas,2084936.350048216
Пионер,developer,Москва,sale,flat,11,3,85.9,77617693.0,Даниловский,,,Павелецкая,Опус ЖК,903581.9906868452
Ramenky Realty,real_estate_agent,Москва,sale,flat,12,4,101.2,180000000.0,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы,1778656.1264822134
Снегири,developer,Москва,sale,flat,4,3,217.0,430000201.0,Раменки,Минская ,2Вк6,Минская,Снегири Эко,1981567.7465437788
Tekta Group,developer,Москва,sale,flat,34,3,57.1,23599430.0,Нагорный,,2,Нагорная,Твелв ЖК,413300.0
PEOPLE,real_estate_agent,Москва,sale,flat,14,3,97.5,83000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал,851282.0512820513
Никита Гаврилов,realtor,Москва,sale,flat,17,2,60.0,18550000.0,Марьино,Новочеркасский бульвар,47,Марьино,,309166.6666666667
Донстрой,developer,Москва,sale,flat,19,2,80.2,94315200.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35,1176000.0
SKYEST,real_estate_agent,Москва,sale,flat,14,3,102.0,133500000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,1308823.5294117648
Kalinka Group,real_estate_agent,Москва,sale,flat,8,3,95.0,60000000.0,Даниловский,2-й Павелецкий проезд,5С1,Крестьянская застава,RIVERDALE APARTMENTS,631578.947368421
NIKA ESTATE,real_estate_agent,Москва,sale,flat,13,3,82.9,43000000.0,Раменки,Винницкая ,8к2,Раменки,Настоящее,518697.2255729795
do A.S.A.P.,real_estate_agent,Москва,sale,flat,40,3,110.0,46500000.0,Кунцево,Рублевское шоссе,107,Молодёжная,Рублевские Огни,422727.2727272727
